Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Color (product.metafields.shopify.color-pattern),Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / Manufacturer part number (MPN),Google Shopping / Ad group name,Google Shopping / Ads labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4
Aurora Glass Candle - Sage Mist,aurora-glass-candle-sage-mist,Aurora Glass Candle - Sage Mist is a thoughtfully styled glass candle designed for modern homes. It pairs a refined palette with gift-ready presentation and everyday practicality.,Southern Aura Studio,Home & Garden > Decor,Glass Candle,"Aurora, Glass Candle, Sage Mist, Home Decor, Gift Idea",TRUE,Active,SA-001,8800000000001,Title,Default Title,,,,,,,,21.25,29.25,9.56,TRUE,,,,,,shopify,23,DENY,265,g,TRUE,manual,https://picsum.photos/seed/aurora-glass-candle-sage-mist/1200/1200,1,Aurora Glass Candle - Sage Mist product image,,FALSE,Aurora Glass Candle - Sage Mist | Southern Aura Studio,"Shop Aurora Glass Candle - Sage Mist, a beautifully designed glass candle with a soft, elevated aesthetic.",#DCE8DE; #91A88B; #F6EFE7,Home & Garden > Decor,,Adult,SA-001,Aurora Glass Candle,Sage Mist,New,FALSE,Generated Catalog,Glass Candle,,,
Aurora Glass Candle - Coastal Linen,aurora-glass-candle-coastal-linen,Aurora Glass Candle - Coastal Linen is a thoughtfully styled glass candle designed for modern homes. It pairs a refined palette with gift-ready presentation and everyday practicality.,Southern Aura Studio,Home & Garden > Decor,Glass Candle,"Aurora, Glass Candle, Coastal Linen, Home Decor, Gift Idea",TRUE,Active,SA-002,8800000000002,Title,Default Title,,,,,,,,24.50,32.50,11.03,TRUE,,,,,,shopify,26,DENY,310,g,TRUE,manual,https://picsum.photos/seed/aurora-glass-candle-coastal-linen/1200/1200,1,Aurora Glass Candle - Coastal Linen product image,,FALSE,Aurora Glass Candle - Coastal Linen | Southern Aura Studio,"Shop Aurora Glass Candle - Coastal Linen, a beautifully designed glass candle with a soft, elevated aesthetic.",#D9E8F5; #6F93B7; #F5F8FB,Home & Garden > Decor,,Adult,SA-002,Aurora Glass Candle,Coastal Linen,New,FALSE,Generated Catalog,Glass Candle,,,
Aurora Glass Candle - Amber Fig,aurora-glass-candle-amber-fig,Aurora Glass Candle - Amber Fig is a thoughtfully styled glass candle designed for modern homes. It pairs a refined palette with gift-ready presentation and everyday practicality.,Southern Aura Studio,Home & Garden > Decor,Glass Candle,"Aurora, Glass Candle, Amber Fig, Home Decor, Gift Idea",TRUE,Active,SA-003,8800000000003,Title,Default Title,,,,,,,,27.75,35.75,12.49,TRUE,,,,,,shopify,29,DENY,355,g,TRUE,manual,https://picsum.photos/seed/aurora-glass-candle-amber-fig/1200/1200,1,Aurora Glass Candle - Amber Fig product image,,FALSE,Aurora Glass Candle - Amber Fig | Southern Aura Studio,"Shop Aurora Glass Candle - Amber Fig, a beautifully designed glass candle with a soft, elevated aesthetic.",#E8D3B8; #A36B3F; #FBF5EE,Home & Garden > Decor,,Adult,SA-003,Aurora Glass Candle,Amber Fig,New,FALSE,Generated Catalog,Glass Candle,,,
Aurora Glass Candle - Rose Sandalwood,aurora-glass-candle-rose-sandalwood,Aurora Glass Candle - Rose Sandalwood is a thoughtfully styled glass candle designed for modern homes. It pairs a refined palette with gift-ready presentation and everyday practicality.,Southern Aura Studio,Home & Garden > Decor,Glass Candle,"Aurora, Glass Candle, Rose Sandalwood, Home Decor, Gift Idea",TRUE,Active,SA-004,8800000000004,Title,Default Title,,,,,,,,31.00,39.00,13.95,TRUE,,,,,,shopify,32,DENY,400,g,TRUE,manual,https://picsum.photos/seed/aurora-glass-candle-rose-sandalwood/1200/1200,1,Aurora Glass Candle - Rose Sandalwood product image,,FALSE,Aurora Glass Candle - Rose Sandalwood | Southern Aura Studio,"Shop Aurora Glass Candle - Rose Sandalwood, a beautifully designed glass candle with a soft, elevated aesthetic.",#F0D4DA; #B36A78; #FFF5F6,Home & Garden > Decor,,Adult,SA-004,Aurora Glass Candle,Rose Sandalwood,New,FALSE,Generated Catalog,Glass Candle,,,
Aurora Glass Candle - Midnight Plum,aurora-glass-candle-midnight-plum,Aurora Glass Candle - Midnight Plum is a thoughtfully styled glass candle designed for modern homes. It pairs a refined palette with gift-ready presentation and everyday practicality.,Southern Aura Studio,Home & Garden > Decor,Glass Candle,"Aurora, Glass Candle, Midnight Plum, Home Decor, Gift Idea",TRUE,Active,SA-005,8800000000005,Title,Default Title,,,,,,,,34.25,42.25,15.41,TRUE,,,,,,shopify,35,DENY,445,g,TRUE,manual,https://picsum.photos/seed/aurora-glass-candle-midnight-plum/1200/1200,1,Aurora Glass Candle - Midnight Plum product image,,FALSE,Aurora Glass Candle - Midnight Plum | Southern Aura Studio,"Shop Aurora Glass Candle - Midnight Plum, a beautifully designed glass candle with a soft, elevated aesthetic.",#D9D1E8; #5F4C7A; #F8F6FB,Home & Garden > Decor,,Adult,SA-005,Aurora Glass Candle,Midnight Plum,New,FALSE,Generated Catalog,Glass Candle,,,
Terra Ceramic Candle - Cedar Grove,terra-ceramic-candle-cedar-grove,Terra Ceramic Candle - Cedar Grove is a thoughtfully styled ceramic candle designed for modern homes. It pairs a refined palette with gift-ready presentation and everyday practicality.,Southern Aura Studio,Home & Garden > Decor,Ceramic Candle,"Terra, Ceramic Candle, Cedar Grove, Home Decor, Gift Idea",TRUE,Active,SA-006,8800000000006,Title,Default Title,,,,,,,,37.50,45.50,16.88,TRUE,,,,,,shopify,38,DENY,220,g,TRUE,manual,https://picsum.photos/seed/terra-ceramic-candle-cedar-grove/1200/1200,1,Terra Ceramic Candle - Cedar Grove product image,,FALSE,Terra Ceramic Candle - Cedar Grove | Southern Aura Studio,"Shop Terra Ceramic Candle - Cedar Grove, a beautifully designed ceramic candle with a soft, elevated aesthetic.",#E1D8CF; #8A7768; #F9F6F2,Home & Garden > Decor,,Adult,SA-006,Terra Ceramic Candle,Cedar Grove,New,FALSE,Generated Catalog,Ceramic Candle,,,
Terra Ceramic Candle - Vanilla Birch,terra-ceramic-candle-vanilla-birch,Terra Ceramic Candle - Vanilla Birch is a thoughtfully styled ceramic candle designed for modern homes. It pairs a refined palette with gift-ready presentation and everyday practicality.,Southern Aura Studio,Home & Garden > Decor,Ceramic Candle,"Terra, Ceramic Candle, Vanilla Birch, Home Decor, Gift Idea",TRUE,Active,SA-007,8800000000007,Title,Default Title,,,,,,,,18.00,26.00,8.10,TRUE,,,,,,shopify,41,DENY,265,g,TRUE,manual,https://picsum.photos/seed/terra-ceramic-candle-vanilla-birch/1200/1200,1,Terra Ceramic Candle - Vanilla Birch product image,,FALSE,Terra Ceramic Candle - Vanilla Birch | Southern Aura Studio,"Shop Terra Ceramic Candle - Vanilla Birch, a beautifully designed ceramic candle with a soft, elevated aesthetic.",#EEE2C8; #B69A65; #FCFAF4,Home & Garden > Decor,,Adult,SA-007,Terra Ceramic Candle,Vanilla Birch,New,FALSE,Generated Catalog,Ceramic Candle,,,
Terra Ceramic Candle - Citrus Bloom,terra-ceramic-candle-citrus-bloom,Terra Ceramic Candle - Citrus Bloom is a thoughtfully styled ceramic candle designed for modern homes. It pairs a refined palette with gift-ready presentation and everyday practicality.,Southern Aura Studio,Home & Garden > Decor,Ceramic Candle,"Terra, Ceramic Candle, Citrus Bloom, Home Decor, Gift Idea",TRUE,Active,SA-008,8800000000008,Title,Default Title,,,,,,,,21.25,29.25,9.56,TRUE,,,,,,shopify,44,DENY,310,g,TRUE,manual,https://picsum.photos/seed/terra-ceramic-candle-citrus-bloom/1200/1200,1,Terra Ceramic Candle - Citrus Bloom product image,,FALSE,Terra Ceramic Candle - Citrus Bloom | Southern Aura Studio,"Shop Terra Ceramic Candle - Citrus Bloom, a beautifully designed ceramic candle with a soft, elevated aesthetic.",#F9DE9C; #E39A24; #FFF9EC,Home & Garden > Decor,,Adult,SA-008,Terra Ceramic Candle,Citrus Bloom,New,FALSE,Generated Catalog,Ceramic Candle,,,
Terra Ceramic Candle - Lavender Smoke,terra-ceramic-candle-lavender-smoke,Terra Ceramic Candle - Lavender Smoke is a thoughtfully styled ceramic candle designed for modern homes. It pairs a refined palette with gift-ready presentation and everyday practicality.,Southern Aura Studio,Home & Garden > Decor,Ceramic Candle,"Terra, Ceramic Candle, Lavender Smoke, Home Decor, Gift Idea",TRUE,Active,SA-009,8800000000009,Title,Default Title,,,,,,,,24.50,32.50,11.03,TRUE,,,,,,shopify,47,DENY,355,g,TRUE,manual,https://picsum.photos/seed/terra-ceramic-candle-lavender-smoke/1200/1200,1,Terra Ceramic Candle - Lavender Smoke product image,,FALSE,Terra Ceramic Candle - Lavender Smoke | Southern Aura Studio,"Shop Terra Ceramic Candle - Lavender Smoke, a beautifully designed ceramic candle with a soft, elevated aesthetic.",#DDD8EE; #8779B3; #F9F8FD,Home & Garden > Decor,,Adult,SA-009,Terra Ceramic Candle,Lavender Smoke,New,FALSE,Generated Catalog,Ceramic Candle,,,
Terra Ceramic Candle - Wild Jasmine,terra-ceramic-candle-wild-jasmine,Terra Ceramic Candle - Wild Jasmine is a thoughtfully styled ceramic candle designed for modern homes. It pairs a refined palette with gift-ready presentation and everyday practicality.,Southern Aura Studio,Home & Garden > Decor,Ceramic Candle,"Terra, Ceramic Candle, Wild Jasmine, Home Decor, Gift Idea",TRUE,Active,SA-010,8800000000010,Title,Default Title,,,,,,,,27.75,35.75,12.49,TRUE,,,,,,shopify,50,DENY,400,g,TRUE,manual,https://picsum.photos/seed/terra-ceramic-candle-wild-jasmine/1200/1200,1,Terra Ceramic Candle - Wild Jasmine product image,,FALSE,Terra Ceramic Candle - Wild Jasmine | Southern Aura Studio,"Shop Terra Ceramic Candle - Wild Jasmine, a beautifully designed ceramic candle with a soft, elevated aesthetic.",#F1E9D7; #A5956D; #FFFCF4,Home & Garden > Decor,,Adult,SA-010,Terra Ceramic Candle,Wild Jasmine,New,FALSE,Generated Catalog,Ceramic Candle,,,
